Act.NeSiteId,Actual Ne SiteName,SourceNode,Latitude,Longitude
PAL187,PROTELINDO PALU BARU,GPON03-D7-PLA-4,-0.893865,119.856573
PAL188,TBG_TAIPA_PALU,GPON01-D7-TWL-4,-0.763527778,119.863
PAL189,LAYANAN TONDO,GPON02-D7-PLA-3,-0.81931,119.88075
PAL194,ProtelindoTanamodindi,GPON05-D7-PLA-4,-0.903853,119.895812
PAL201,TOKO GALAXY,ME2-D7-PAL,-0.9121,119.8759
PAL205,MC Toko Indah,ME-D7-PAL,-0.896046,119.861465
PAL207,MCTokoModern_MW,GPON00-D7-PLB-5,-0.91837,119.87672
PAL208,MC TOKO ALUMINIUM,GPON01-D7-PLB-3,-0.910026,119.855978
PAL209,SMP ALAZHAR,GPON05-D7-PLA-4,-0.902186,119.898366
PAL210,MCTokoSuryaIndah_MW,GPON01-D7-PLA-3,-0.898301,119.873821
PAL214,MCRSuharsa_MW,GPON01-D7-PLA-3,-0.890108,119.866977
PAL215,PROTELINDO_VATUTELA,GPON05-D7-PLA-4,-0.845073,119.907915
PAL217,Protelindo Lolu,GPON01-D7-PLB-3,-0.961122,119.907231
PAL218,MC GURU TUA,GPON02-D7-PLB-3,-0.93897,119.884173
PAL219,MCR DAYODARA,GPON02-D7-PLA-3,-0.88533,119.89346
PAL221,MCRSBudiAgung_MW,GPON00-D7-PLB-5,-0.907114,119.874223
PAL223,MCR MANGGIS,GPON03-D7-PLA-4,-0.90191,119.84527
PAL226,MCRBanteng_MW,GPON01-D7-PLB-3,-0.93095,119.89548
PAL230,MC JALAN BEO,GPON01-D7-PLA-3,-0.90808,119.891238
PAL231,MC Ruko Tsel_MW,GPON01-D7-PLB-3,-0.91913,119.879843
PAL236,MCR Dewi Sartika,GPON01-D7-PLB-3,-0.9256,119.89515
PAL242,MC RS Anutapura,GPON02-D7-PLA-3,-0.90088,119.848764
PAL245,MCKiMangunSarkoro_MW,GPON01-D7-PLA-3,-0.89497,119.884029
PAL248,MC Black Canyon Palu,GPON02-D7-PLA-3,-0.885018,119.87545
PAL262,MC Ruko Wijaya,GPON02-D7-PLA-3,-0.896275,119.877573
PAL267,Gedung_Pusat_Riset_UNTAD,GPON05-D7-PLA-4,-0.836805556,119.8993889
PAL268,Gedung Rumah Sakit UNTAD,GPON05-D7-PLA-4,-0.843111111,119.8970556
PAL269,Rektorad UNTAD,GPON02-D7-PLA-3,-0.83661,119.89388
PAL270,UNTAD4 Pusat Bahasa,GPON01-D7-PLB-3,-0.832234,119.896
PAL272,NEW GRAPARI PALU,GPON01-D7-PLA-3,-0.899219,119.888029
PAL273,BandaraMutiaraPalu_MW,GPON00-D7-PLA-5,-0.919102,119.907246
PAL274,PaluGrandMall_MW,GPON02-D7-PLA-3,-0.884123,119.84329
PAL277,EBTTamanRia_MW,GPON03-D7-PLA-4,-0.88044,119.83776
PAL282,EBTPatungKuda_MW,GPON01-D7-PLA-3,-0.884879,119.867525
PAL283,EBTJalanLangsat_MW,GPON00-D7-PLA-5,-0.89748,119.85448
PAL284,EBTRadenSaleh_MW,GPON00-D7-PLA-5,-0.887129,119.871187
PAL286,MCRKetimun_MW,GPON02-D7-PLA-3,-0.906069444,119.8489111
PAL288,Kamonji,GPON02-D7-PLA-3,-0.901196,119.8519
PAL290,MCWRSupratman_MW,GPON03-D7-PLA-4,-0.897658,119.851861
PAL292,MC Diponegoro Palu,GPON02-D7-PLA-3,-0.915606,119.895038
PAL293,MC ENRESTO,GPON01-D7-PLA-3,-0.894989,119.878977
PAL296,MC SPACE BAR_MW,GPON01-D7-PLB-3,-0.918485,119.899332
PAL297,MCRTomboloDua_MW,GPON03-D7-PLA-4,-0.88441,119.87946
PAL298,MC SMK JAMUR_MW,GPON01-D7-PLB-3,-0.93344,119.884849
PAL300,MCRPasarTavanjuka_MW,GPON01-D7-PLB-3,-0.922845,119.865374
PAL301,MCPermataRegency_MW,GPON04-D7-PLB-4,-0.921199,119.884147
PAL302,TBGSamratulangiPalu_MW,GPON01-D7-PLA-3,-0.891103,119.870214
PAL304,TBGLoluSelatan_MW,GPON01-D7-PLA-3,-0.90143,119.88256
PAL305,TBG Hayam Wuruk,GPON02-D7-PLA-3,-0.88909,119.86237
PAL306,TBG TANGGUL SELATAN,GPON01-D7-PLB-3,-0.924714,119.902322
PAL308,TBGBULUMASOMBA,GPON01-D7-PLA-3,-0.902999,119.911613
PAL309,TBGTombolotutu,GPON02-D7-PLA-3,-0.89024,119.89039
PAL310,TBGKelinciTalise_MW,GPON01-D7-PLA-3,-0.873945,119.876109
PAL311,TBG GATOT SUBROTO,GPON01-D7-PLA-3,-0.89161,119.87441
PAL312,TBG_LOLU_LASOSO,GPON05-D7-PLB-4,-0.956371,119.91619
PAL313,TINANDA SILAE,GPON02-D7-PLA-3,-0.877147,119.83061
PAL314,POBOYA,GPON03-D7-PLA-4,-0.8821,119.910082
PAL315,TBGVALANGGUNI,GPON01-D7-PLA-3,-0.886624,119.883457
PAL316,TBGMAMBOROBARAT,GPON00-D7-TWL-3,-0.789603,119.867575
PAL317,TBG GARUDA,GPON02-D7-PLA-3,-0.907875,119.898549
PAL318,TBGTanjungDako,GPON01-D7-PLA-3,-0.90311,119.87941
PAL319,TBG_Terminal_Tipo,GPON05-D7-PLA-4,-0.86152,119.82739
PAL327,TBG MCP TIPO ULUJADI,GPON02-D7-PLA-3,-0.89971,119.88483
PAL329,TBG MCP PENGADILAN AGAMA,GPON02-D7-PLA-3,-0.89272,119.8512
PAL330,TBG MCP DENPAL,GPON02-D7-PLA-3,-0.9049,119.87051
PAL331,TBG MCP SDN3 BIROBULI,GPON01-D7-PLB-3,-0.93147,119.89146
PAL332,TBG MCP BTN Birobuli_MW,GPON01-D7-PLB-3,-0.92845,119.89359
PAL333,TBG MCP BTN PENGAWU,GPON01-D7-PLB-3,-0.914944,119.84678
PAL334,TBG_MCP_Kawatuna,GPON05-D7-PLA-4,-0.917337898,119.9320946
PAL336,TBG MCP KANCIL PALUPI,GPON04-D7-PLB-4,-0.9161,119.87268
PAL337,MCR BATUBATA INDAH,GPON02-D7-PLA-3,-0.9157,119.88855
PAL342,TBG MCP MERANTI NUNU,GPON01-D7-PLB-3,-0.91123,119.86104
PAL344,TBG_MCP_LURAH_LASOANI,GPON02-D7-PLA-3,-0.89818,119.903209
PAL345,KARANJA LEMBAH RESIDENCE,GPON01-D7-PLB-3,-0.93697,119.89269
PAL346,MCR TONDO,GPON02-D7-PLA-3,-0.9069772,119.882874
PAL351,TBG MCP Anjungan TVRI,GPON03-D7-PLA-4,-0.88618,119.86324
PAL352,TBG MCP SIRANINDI,GPON02-D7-PLA-3,-0.89724,119.8578
PAL353,TBG MCP BULURI,GPON03-D7-PLA-4,-0.85094,119.82433
PAL354,TBG MCP YONIF 711,GPON01-D7-PLB-3,-0.91441,119.87419
PAL355,TBG MCP PEGADAIAN PENGAWU,GPON01-D7-PLB-3,-0.92237,119.85641
PAL356,TBG MCP BAYAOGE,GPON01-D7-PLA-3,-0.89201,119.88232
PAL357,TBG MCP PALUPI 1,GPON01-D7-PLB-3,-0.92794,119.85943
PAL359,TANGKASI,GPON00-D7-PLB-5,-0.92905,119.88754
PAL360,TBG MCP JLN MULAWARMAN,GPON02-D7-PLA-3,-0.89469,119.86635
PAL361,TBG MCP Hotel Pavilion,GPON03-D7-PLA-4,-0.89203,119.86548
PAL362,TBG MCP LAPANGAN LASOSO,GPON02-D7-PLA-3,-0.88927,119.84387
PAL363,TBG MCP SDN27,GPON02-D7-PLA-3,-0.90306,119.88598
PAL365,TBG MCP KANTOR LURAH BARU,GPON03-D7-PLA-4,-0.89343,119.86011
PAL366,BTN PALUPI 2,GPON02-D7-PLB-3,-0.93063,119.8619
PAL367,MCP BTN PUSKUD,GPON01-D7-PLB-3,-0.92929,119.85464
PAL368,TBG MCP ZEBRA BIROBULI,GPON01-D7-PLB-3,-0.92105,119.8919
PAL369,PROTELINDO_KAYADOE,GPON01-D7-PLB-3,-0.92215,119.89945
PAL372,TBG MCP MARY GLOW,GPON01-D7-PLA-3,-0.90034,119.8689
PAL377,MCR SAMRAT PALU,GPON02-D7-PLA-3,-0.88453,119.87115
PAL379,EBT MC BALAIKOTA PALU,GPON01-D7-PLA-3,-0.90076,119.89196
PAL387,TBG Tondo Pantai,GPON05-D7-PLA-4,-0.83634,119.88086
PAL390,EBT MCP KAWATUNA,GPON04-D7-PLA-4,-0.90864,119.92303
PAL392,MCR JLN JAMUR,GPON03-D7-PLA-4,-0.90746,119.85181
PAL393,Brizky Hotel,GPON05-D7-PLA-4,-0.85351,119.88214
PAL395,API Bale,GPON01-D7-TWL-4,-0.77522,119.90826
PAL396,PALU 1327,GPON02-D7-PLA-3,-0.843277,119.890515
PAL434,DMT_Merpati_Dengelo,GPON05-D7-PLA-4,-0.89291,119.8937
PAL435,Huntap_Tondo_(site permanen),GPON05-D7-PLA-4,-0.83064,119.90643
PAL436,DMT_CPM_Poboya,GPON04-D7-PLA-4,-0.85897,119.93431
PAL451,EBT-Soeharto,GPON04-D7-PLB-4,-0.93569,119.92483
PGI001,Parigi_MW,GPON00-D7-PGI-5,-0.80854,120.172117
PGI002,Tolai (BSC Parigi),L2SW-D7-TSEL-PGI002,-0.98687,120.34165
PGI003,Amphibabo,SW10G-D7-TSEL-PGI003,-0.457222222,120.0648333
PGI004,TORIBULU,SW-D7-PGI004,-0.319138889,120.0141111
PGI006,Kasimbar,SW-D7-PGI004,-0.145611111,120.0306944
PGI007,Tada,L2SW-D7-PGI063,-0.040321,120.067763
PGI008,TINOMBO_ONT-1,GPON01-D7-TNB-4,0.387087,120.28504
PGI009,SumberSari_MW,ME-D7-PRG,-0.920866,120.243628
PGI010,SIGENTI,L2SW-D7-PGI010,0.127666667,120.1240833
PGI011,PALASA/Tomini,GPON02-D7-TNB-4,0.482777778,120.4375
PGI012,MOUTONG,GPON00-D7-MOT-4,0.465661,121.225553
PGI013,Margapura,L2SW-D7-PGI060,0.4917,120.9678
PGI014,Santigi,ME-D7-STG,0.474206,120.828127
PGI015,SAUSU_CITY,GPON02-D7-TLY-4SUS,-1.0477,120.4478
PGI016,TOBOLI,GPON01-D7-PGI-3,-0.70854,120.09703
PGI017,Gio,GPON00-D7-MOT-4,0.46385,121.10416
PGI018,TORUE,GPON01-D7-TLY-4,-0.959638889,120.2915833
PGI019,PARIGI2,GPON01-D7-PGI-3,-0.824071,120.179123
